fiscal_year,posting_date,description,amount,vendor_name,org2_name,cat1_name,cat2_name,fund1_name,fund2_name
2017,2016-07-31,CASH DISBURSEMENTS,230.87,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,96.97,Not Applicable,NA,TREASURER WAGES,TREASURER WAGES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,15.62,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,519.44,Not Applicable,NA,PAYROLL TAXES,PAYROLL TAXES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,11.95,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,166.81,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,90,Not Applicable,NA,PARK WAGES,PARK WAGES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,106.61,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,302.29,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,204.91,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,23.11,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,10,Not Applicable,NA,CEMETERY,Cemetery,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,350,Not Applicable,NA,CEMETERY,Cemetery,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,62.38,Not Applicable,NA,CEMETERY  WAGES,CEMETERY  WAGES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,199,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,127.69,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,261,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,369,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,682,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,160.18,Not Applicable,NA,FIRE FUEL,FIRE FUEL,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,FIRE - UTILITIES,FIRE - UTILITIES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,207.88,Not Applicable,NA,FIRE - UTILITIES,FIRE - UTILITIES,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,682,Not Applicable,NA,POLICE,POLICE,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,682,Not Applicable,NA,EMS,EMS,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,88.94,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,56.05,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,125,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,136.43,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,244.73,Not Applicable,NA,WATER MASTER SALARY,WATER MASTER SALARY,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,136,Not Applicable,NA,WAGES - BILLINGS,WAGES - BILLINGS,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,280.65,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,1565.9,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,55.73,Not Applicable,NA,UTILITIES,Utilities,Water Fund,NA
2017,2016-07-31,CASH DISBURSEMENTS,20,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-500,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-85,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-396,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-250,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-1,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-07-31,CASH RECEIPTS - MANUAL ENTRIES,-8e3,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-4409.99,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,-250,Not Applicable,NA,CEMETERY,Cemetery,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,49.36,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,4409.99,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,8e3,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-07-31,JOURNAL ENTRIES,13e3,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,230.87,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,96.97,Not Applicable,NA,TREASURER WAGES,TREASURER WAGES,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,7.21,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,22.25,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,71.51,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,9.9,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,90,Not Applicable,NA,PARK WAGES,PARK WAGES,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,22.49,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,19.48,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,26.69,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,62.38,Not Applicable,NA,CEMETERY  WAGES,CEMETERY  WAGES,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,10.9,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,121.3,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,10.91,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,10.87,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,261.96,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,271.21,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,88.94,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,381,Not Applicable,NA,WATER SUPPLIES,WATER SUPPLIES,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,742.5,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,125,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,136.43,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,244.73,Not Applicable,NA,WATER MASTER SALARY,WATER MASTER SALARY,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,136,Not Applicable,NA,WAGES - BILLINGS,WAGES - BILLINGS,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,206.91,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,1565.9,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-08-31,CASH DISBURSEMENTS,55.37,Not Applicable,NA,UTILITIES,Utilities,Water Fund,NA
