invalid_date,uploaded_file,transaction_type,upload_date,begin_txn_date,end_txn_date,file_record_count,file_total_dollar_amount,upload_username
"2013-03-28, 2013-05-01, 2013-05-14, 2013-03-06, 2013-01-11, 2012-12-18",HighlandCity_Transparency_07012013_12312013.txt,"EXP, REV",2014-03-17,2012-12-18,2013-12-31,6350,15475086.13,rglecheminant
1940-04-18,StateReporting_HighlandCity_01012014_06302014.txt,"REV, EXP",2014-07-28,1940-04-18,2014-06-30,6633,13404348.68,rglecheminant
"2014-05-06, 2014-05-28, 2014-04-02, 2014-04-18, 2014-01-17, 2014-01-21, 2014-04-14, 2014-05-22",StateReporting_HighlandCity_07012014_09302014_FixedErrors_V3.txt,"REV, EXP",2015-01-07,2014-01-17,2014-10-30,3615,7117664.79,rglecheminant
"2013-09-10, 2014-05-27",StateReporting_HighlandCity_10012014_12312014.txt,"REV, EXP",2015-01-29,2013-09-10,2015-12-31,3050,7638631.65,rglecheminant
2013-02-27,HighlandCity_UploadTransparencyWebsite_01012015_03312015.txt,"REV, EXP",2015-04-27,2013-02-27,2015-04-06,3083,6489559.14,rglecheminant
"2014-03-18, 2010-10-13, 2013-05-20",Highland City FY2015 Q4 Upload File FIXED With PIPE Delimiters.txt,"REV, EXP",2015-09-14,2010-10-13,2015-07-23,3689,8035903.34,rglecheminant
2015-03-30,HighlandCity_Upload_GLData_FY2016_Q2.txt,"REV, EXP",2016-03-01,2015-03-30,2016-01-26,3186,8933372.52,rglecheminant
2015-01-06,HighlandCity_Upload_GLData_FY2016_Q3.txt,"EXP, REV",2016-04-27,2015-01-06,2016-04-06,3460,8280595.2,rglecheminant
"2016-05-26, 2016-02-04, 2016-05-16, 2016-05-25, 2012-10-18, 2013-10-25",HighlandCity_Upload_GLData_FY2017_Q2_Oct_Dec.txt,"EXP, REV",2017-01-26,2012-10-18,2016-12-31,2977,9363647.52,rglecheminant
"2015-01-15, 2014-06-25, 2013-06-17, 2014-05-05, 2014-02-10, 2014-06-05, 2013-02-26, 2012-06-30, 2011-05-11",HighlandCity_Upload_GLData_FY2017_Q3_Jan_Mar.txt,"REV, EXP",2017-04-24,2011-05-11,2017-04-06,3152,7198006.35,rglecheminant
2015-04-15,HighlandCity_Upload_GLData_FY2016_Q4_Apr_June_sent_062117.txt,"REV, EXP",2017-06-21,2015-04-15,2016-08-18,3722,9792028.34,rglecheminant
"2016-04-11, 2015-07-28, 2015-08-31, 2015-09-21",HighlandCity_Upload_GLData_FY2017_Q1_Jul_Sept_V4.txt,"REV, EXP",2017-07-03,2015-07-28,2016-10-13,3295,7347501.34,rglecheminant
"2012-11-13, 2014-05-22, 2011-05-11, 2013-04-08, 2013-04-01, 2017-05-17, 2009-07-13, 2014-02-21, 2016-02-04, 2010-01-21",HighlandCity_Upload_GLData_FY2018_Q1_Jul_Sep_V2.txt,"EXP, REV",2017-11-08,2009-07-13,2017-09-30,3866,7829343.6,rglecheminant
"2015-07-02, 2017-01-19, 2016-10-04",HighlandCity_Upload_GLData_FY2018_Q2_Oct_Dec.txt,"EXP, REV",2018-02-12,2015-07-02,2018-01-16,3121,8863924.48,rglecheminant
"2018-05-31, 2018-05-11, 2018-04-23, 2018-05-12, 2018-05-15, 2018-05-14, 2018-05-23, 2018-05-03, 2018-05-24, 2018-04-30, 2018-05-09, 2018-05-22, 2016-08-31, 2016-01-25, 2018-05-18, 2016-12-16, 2018-04-25, 2018-04-26",HighlandCity_Upload_GLData_FY2019_Q1_Jul_Sep_2018.txt,"REV, EXP",2018-10-30,2016-01-25,2018-10-31,4935,10909654.66,rglecheminant
"2018-04-25, 2018-05-11, 2018-04-26, 2016-09-22, 2016-08-31, 2018-01-17, 2017-12-06, 2018-03-14",HighlandCity_Upload_GLData_FY2019_Q2_Oct_Dec_2018_v2.txt,"REV, EXP",2019-04-29,2016-08-31,2019-01-11,3303,10904018.51,rglecheminant
